"id","date","temperature"
"367","2023-01-01","50.11"
"368","2023-01-02","40.78"
"369","2023-01-03","36"
"370","2023-01-04","50.78"
"371","2023-01-05","40.44"
"372","2023-01-06","30.67"
"373","2023-01-07","20.67"
"374","2023-01-08","35.67"
"375","2023-01-09","30.33"
"376","2023-01-10","40"
"377","2023-01-11","32.78"
"378","2023-01-12","28.89"
"379","2023-01-13","30.56"
"380","2023-01-14","50.89"
"381","2023-01-15","35.56"
"382","2023-01-16","33.33"
"383","2023-01-17","50"
"384","2023-01-18","30.56"
"385","2023-01-19","50.22"
"386","2023-01-20","32.22"
"387","2023-01-21","27.22"
"388","2023-01-22","23.33"
"389","2023-01-23","50"
"390","2023-01-24","36.11"
"391","2023-01-25","40.56"
"392","2023-01-26","21.67"
"393","2023-01-27","23.89"
"394","2023-01-28","40.78"
"395","2023-01-29","35"
"396","2023-01-30","25"
"397","2023-01-31","27.22"
"398","2023-02-01","22.22"
"399","2023-02-02","35.56"
"400","2023-02-03","28.89"
"401","2023-02-04","22.22"
"402","2023-02-05","30.56"
"403","2023-02-06","25.56"
"404","2023-02-07","21.11"
"405","2023-02-08","36.67"
"406","2023-02-09","36.11"
"407","2023-02-10","33.89"
"408","2023-02-11","23.89"
"409","2023-02-12","40.89"
"410","2023-02-13","32.22"
"411","2023-02-14","30.56"
"412","2023-02-15","33.22"
"413","2023-02-16","23.33"
"414","2023-02-17","27.78"
"415","2023-02-18","32.22"
"416","2023-02-19","16.11"
"417","2023-02-20","35"
"418","2023-02-21","23.33"
"419","2023-02-22","16.67"
"420","2023-02-23","21.11"
"421","2023-02-24","18.89"
"422","2023-02-25","36.11"
"423","2023-02-26","40.44"
"424","2023-02-27","17.78"
"425","2023-02-28","16.11"
"426","2023-03-01","34.44"
"427","2023-03-02","17.78"
"428","2023-03-03","36.11"
"429","2023-03-04","24.44"
"430","2023-03-05","20.56"
"431","2023-03-06","35.56"
"432","2023-03-07","35"
"433","2023-03-08","29.44"
"434","2023-03-09","27.78"
"435","2023-03-10","34.44"
"436","2023-03-11","28.33"
"437","2023-03-12","23.89"
"438","2023-03-13","18.33"
"439","2023-03-14","27.78"
"440","2023-03-15","22.22"
"441","2023-03-16","35"
"442","2023-03-17","25"
"443","2023-03-18","40.33"
